GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
campaign,com.campaign.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
campaign,com.campaign.exception,GlobalExceptionHandler,0,10,0,0,0,2,0,2,0,2
campaign,com.campaign.hashicorp,AppConfiguration,0,15,0,0,0,5,0,5,0,5
campaign,com.campaign.hashicorp,VaultPropertySetter,0,28,0,0,0,6,0,2,0,2
campaign,com.campaign.service.impl,CampaignTransactionServiceImpl,0,113,4,8,0,24,4,9,0,7
campaign,com.campaign.service.impl,CampaignServiceImpl,36,184,5,8,9,36,6,12,1,8
campaign,com.campaign.security,JwtService,102,3,4,0,23,1,11,1,9,1
campaign,com.campaign.security,CampaignInfoDetails,40,0,0,0,14,0,8,0,8,0
campaign,com.campaign.security,ServerConfig,0,26,0,0,0,7,0,4,0,4
campaign,com.campaign.security,UserController,45,3,2,0,11,1,8,1,7,1
campaign,com.campaign.security,CampaignInfoService,50,3,0,0,8,1,5,1,5,1
campaign,com.campaign.security,JwtAuthFilter,46,20,8,2,7,8,5,2,0,2
campaign,com.campaign.security,SecurityConfig,0,109,0,0,0,17,0,11,0,11
campaign,com.campaign.events,CampaignUpdate,14,9,0,0,6,4,4,1,4,1
campaign,com.campaign.entity,AuthRequest,124,0,22,0,5,0,21,0,10,0
campaign,com.campaign.entity,CampaignInfo,521,3,92,0,14,1,75,1,29,1
campaign,com.campaign.util,Mapper,8,6,0,0,4,1,1,1,1,1
campaign,com.campaign.controller,CampaignController,0,62,0,0,0,11,0,6,0,6
campaign,com.campaign.controller,CampaignTransactionController,0,28,0,0,0,6,0,6,0,6
